SC,RC,RN,year,rainfall
6,4,California North,2034,131
6,4,California North,2035,191
6,4,California North,2036,249
6,4,California North,2037,203
6,4,California North,2038,112
6,4,California North,2039,80
6,4,California North,2040,225
6,4,California North,2041,141
6,4,California North,2042,100
6,4,California North,2043,443
6,4,California North,2044,191
6,4,California North,2045,177
6,4,California North,2046,139
6,4,California North,2047,89
6,4,California North,2048,191
6,4,California North,2049,239
6,4,California North,2050,181
6,4,California North,2051,297
6,4,California North,2052,139
6,4,California North,2053,193
6,4,California North,2054,122
6,4,California North,2055,194
6,4,California North,2056,244
6,4,California North,2057,143
6,4,California North,2058,476
6,4,California North,2059,144
6,4,California North,2060,267
6,4,California North,2061,272
6,4,California North,2062,164
6,4,California North,2063,309
6,4,California North,2064,164
6,4,California North,2065,261
6,4,California North,2066,116
6,4,California North,2067,75
6,4,California North,2068,193
6,4,California North,2069,30
6,4,California North,2070,250
6,4,California North,2071,88
6,4,California North,2072,259
6,4,California North,2073,142
6,4,California North,2074,103
6,4,California North,2075,189
6,4,California North,2076,131
6,4,California North,2077,497
6,4,California North,2078,237
6,4,California North,2079,114
6,4,California North,2080,443
8,17,Colorado Front Range,2020,216
8,17,Colorado Front Range,2021,162
8,17,Colorado Front Range,2022,94
8,17,Colorado Front Range,2023,120
8,17,Colorado Front Range,2024,280
8,17,Colorado Front Range,2025,107
8,17,Colorado Front Range,2026,202
8,17,Colorado Front Range,2027,88
8,17,Colorado Front Range,2028,121
8,17,Colorado Front Range,2029,111
8,17,Colorado Front Range,2030,81
8,17,Colorado Front Range,2031,64
8,17,Colorado Front Range,2032,214
8,17,Colorado Front Range,2033,166
8,17,Colorado Front Range,2034,89
8,17,Colorado Front Range,2035,178
8,17,Colorado Front Range,2036,216
8,17,Colorado Front Range,2037,167
8,17,Colorado Front Range,2038,81
8,17,Colorado Front Range,2039,71
8,17,Colorado Front Range,2040,186
8,17,Colorado Front Range,2041,110
8,17,Colorado Front Range,2042,80
8,17,Colorado Front Range,2043,402
8,17,Colorado Front Range,2044,132
8,17,Colorado Front Range,2045,151
8,17,Colorado Front Range,2046,138
8,17,Colorado Front Range,2047,92
8,17,Colorado Front Range,2048,176
8,17,Colorado Front Range,2049,184
8,17,Colorado Front Range,2050,135
8,17,Colorado Front Range,2051,225
8,17,Colorado Front Range,2052,115
8,17,Colorado Front Range,2053,195
8,17,Colorado Front Range,2054,132
8,17,Colorado Front Range,2055,144
8,17,Colorado Front Range,2056,189
8,17,Colorado Front Range,2057,114
8,17,Colorado Front Range,2058,446
8,17,Colorado Front Range,2059,103
8,17,Colorado Front Range,2060,233
8,17,Colorado Front Range,2061,238
8,17,Colorado Front Range,2062,172
8,17,Colorado Front Range,2063,254
8,17,Colorado Front Range,2064,170
8,17,Colorado Front Range,2065,240
8,17,Colorado Front Range,2066,96
8,17,Colorado Front Range,2067,96
8,17,Colorado Front Range,2068,189
8,17,Colorado Front Range,2069,53
8,17,Colorado Front Range,2070,215
8,17,Colorado Front Range,2071,65
8,17,Colorado Front Range,2072,218
8,17,Colorado Front Range,2073,128
8,17,Colorado Front Range,2074,111
8,17,Colorado Front Range,2075,187
8,17,Colorado Front Range,2076,96
8,17,Colorado Front Range,2077,426
8,17,Colorado Front Range,2078,184
8,17,Colorado Front Range,2079,89
8,17,Colorado Front Range,2080,402
8,18,Colorado In Basin,2020,168
8,18,Colorado In Basin,2021,157
8,18,Colorado In Basin,2022,51
8,18,Colorado In Basin,2023,84
8,18,Colorado In Basin,2024,282
8,18,Colorado In Basin,2025,80
8,18,Colorado In Basin,2026,169
8,18,Colorado In Basin,2027,103
8,18,Colorado In Basin,2028,119
8,18,Colorado In Basin,2029,122
8,18,Colorado In Basin,2030,74
8,18,Colorado In Basin,2031,61
8,18,Colorado In Basin,2032,207
8,18,Colorado In Basin,2033,174
8,18,Colorado In Basin,2034,118
8,18,Colorado In Basin,2035,177
8,18,Colorado In Basin,2036,229
8,18,Colorado In Basin,2037,159
8,18,Colorado In Basin,2038,75
8,18,Colorado In Basin,2039,91
8,18,Colorado In Basin,2040,191
8,18,Colorado In Basin,2041,118
8,18,Colorado In Basin,2042,40
8,18,Colorado In Basin,2043,358
8,18,Colorado In Basin,2044,165
8,18,Colorado In Basin,2045,172
8,18,Colorado In Basin,2046,112
8,18,Colorado In Basin,2047,91
8,18,Colorado In Basin,2048,156
8,18,Colorado In Basin,2049,205
8,18,Colorado In Basin,2050,136
8,18,Colorado In Basin,2051,253
8,18,Colorado In Basin,2052,123
8,18,Colorado In Basin,2053,154
8,18,Colorado In Basin,2054,86
8,18,Colorado In Basin,2055,155
8,18,Colorado In Basin,2056,245
8,18,Colorado In Basin,2057,101
8,18,Colorado In Basin,2058,426
8,18,Colorado In Basin,2059,103
8,18,Colorado In Basin,2060,205
8,18,Colorado In Basin,2061,242
8,18,Colorado In Basin,2062,165
8,18,Colorado In Basin,2063,254
8,18,Colorado In Basin,2064,130
8,18,Colorado In Basin,2065,204
8,18,Colorado In Basin,2066,97
8,18,Colorado In Basin,2067,86
8,18,Colorado In Basin,2068,182
8,18,Colorado In Basin,2069,64
8,18,Colorado In Basin,2070,211
8,18,Colorado In Basin,2071,50
8,18,Colorado In Basin,2072,197
8,18,Colorado In Basin,2073,125
8,18,Colorado In Basin,2074,111
8,18,Colorado In Basin,2075,161
8,18,Colorado In Basin,2076,95
8,18,Colorado In Basin,2077,405
8,18,Colorado In Basin,2078,195
8,18,Colorado In Basin,2079,105
8,18,Colorado In Basin,2080,358
8,19,Colorado Not In Basin,2020,195
8,19,Colorado Not In Basin,2021,145
8,19,Colorado Not In Basin,2022,62
8,19,Colorado Not In Basin,2023,87
8,19,Colorado Not In Basin,2024,274
8,19,Colorado Not In Basin,2025,75
8,19,Colorado Not In Basin,2026,171
8,19,Colorado Not In Basin,2027,58
8,19,Colorado Not In Basin,2028,126
8,19,Colorado Not In Basin,2029,122
8,19,Colorado Not In Basin,2030,86
8,19,Colorado Not In Basin,2031,39
8,19,Colorado Not In Basin,2032,185
8,19,Colorado Not In Basin,2033,142
8,19,Colorado Not In Basin,2034,99
8,19,Colorado Not In Basin,2035,159
8,19,Colorado Not In Basin,2036,189
8,19,Colorado Not In Basin,2037,156
8,19,Colorado Not In Basin,2038,104
8,19,Colorado Not In Basin,2039,76
8,19,Colorado Not In Basin,2040,202
8,19,Colorado Not In Basin,2041,117
8,19,Colorado Not In Basin,2042,81
8,19,Colorado Not In Basin,2043,352
8,19,Colorado Not In Basin,2044,154
8,19,Colorado Not In Basin,2045,150
8,19,Colorado Not In Basin,2046,126
8,19,Colorado Not In Basin,2047,89
8,19,Colorado Not In Basin,2048,148
8,19,Colorado Not In Basin,2049,197
8,19,Colorado Not In Basin,2050,157
8,19,Colorado Not In Basin,2051,193
8,19,Colorado Not In Basin,2052,120
8,19,Colorado Not In Basin,2053,166
8,19,Colorado Not In Basin,2054,56
8,19,Colorado Not In Basin,2055,120
8,19,Colorado Not In Basin,2056,216
8,19,Colorado Not In Basin,2057,83
8,19,Colorado Not In Basin,2058,382
8,19,Colorado Not In Basin,2059,109
8,19,Colorado Not In Basin,2060,203
8,19,Colorado Not In Basin,2061,206
8,19,Colorado Not In Basin,2062,174
8,19,Colorado Not In Basin,2063,234
8,19,Colorado Not In Basin,2064,137
8,19,Colorado Not In Basin,2065,215
8,19,Colorado Not In Basin,2066,74
8,19,Colorado Not In Basin,2067,79
8,19,Colorado Not In Basin,2068,170
8,19,Colorado Not In Basin,2069,79
8,19,Colorado Not In Basin,2070,183
8,19,Colorado Not In Basin,2071,65
8,19,Colorado Not In Basin,2072,196
8,19,Colorado Not In Basin,2073,120
8,19,Colorado Not In Basin,2074,107
8,19,Colorado Not In Basin,2075,188
8,19,Colorado Not In Basin,2076,80
8,19,Colorado Not In Basin,2077,400
8,19,Colorado Not In Basin,2078,185
8,19,Colorado Not In Basin,2079,114
8,19,Colorado Not In Basin,2080,352
32,5,Nevada South,2020,204
32,5,Nevada South,2021,185
32,5,Nevada South,2022,89
32,5,Nevada South,2023,119
32,5,Nevada South,2024,293
32,5,Nevada South,2025,87
32,5,Nevada South,2026,189
32,5,Nevada South,2027,77
32,5,Nevada South,2028,94
32,5,Nevada South,2029,111
32,5,Nevada South,2030,106
32,5,Nevada South,2031,68
32,5,Nevada South,2032,198
32,5,Nevada South,2033,159
32,5,Nevada South,2034,103
32,5,Nevada South,2035,170
32,5,Nevada South,2036,211
32,5,Nevada South,2037,156
32,5,Nevada South,2038,94
32,5,Nevada South,2039,59
32,5,Nevada South,2040,212
32,5,Nevada South,2041,113
32,5,Nevada South,2042,64
32,5,Nevada South,2043,400
32,5,Nevada South,2044,154
32,5,Nevada South,2045,192
32,5,Nevada South,2046,133
32,5,Nevada South,2047,57
32,5,Nevada South,2048,156
32,5,Nevada South,2049,181
32,5,Nevada South,2050,133
32,5,Nevada South,2051,236
32,5,Nevada South,2052,149
32,5,Nevada South,2053,154
32,5,Nevada South,2054,84
32,5,Nevada South,2055,160
32,5,Nevada South,2056,210
32,5,Nevada South,2057,114
32,5,Nevada South,2058,404
32,5,Nevada South,2059,116
32,5,Nevada South,2060,231
32,5,Nevada South,2061,241
32,5,Nevada South,2062,182
32,5,Nevada South,2063,249
32,5,Nevada South,2064,142
32,5,Nevada South,2065,237
32,5,Nevada South,2066,101
32,5,Nevada South,2067,81
32,5,Nevada South,2068,158
32,5,Nevada South,2069,68
32,5,Nevada South,2070,218
32,5,Nevada South,2071,78
32,5,Nevada South,2072,217
32,5,Nevada South,2073,104
32,5,Nevada South,2074,100
32,5,Nevada South,2075,184
32,5,Nevada South,2076,121
32,5,Nevada South,2077,413
32,5,Nevada South,2078,202
32,5,Nevada South,2079,69
32,5,Nevada South,2080,400
32,6,Nevada In Basin,2020,265
32,6,Nevada In Basin,2021,229
32,6,Nevada In Basin,2022,91
32,6,Nevada In Basin,2023,135
32,6,Nevada In Basin,2024,335
32,6,Nevada In Basin,2025,99
32,6,Nevada In Basin,2026,221
32,6,Nevada In Basin,2027,93
32,6,Nevada In Basin,2028,141
32,6,Nevada In Basin,2029,132
32,6,Nevada In Basin,2030,101
32,6,Nevada In Basin,2031,52
32,6,Nevada In Basin,2032,244
32,6,Nevada In Basin,2033,187
32,6,Nevada In Basin,2034,119
32,6,Nevada In Basin,2035,216
32,6,Nevada In Basin,2036,253
32,6,Nevada In Basin,2037,221
32,6,Nevada In Basin,2038,67
32,6,Nevada In Basin,2039,95
32,6,Nevada In Basin,2040,229
32,6,Nevada In Basin,2041,156
32,6,Nevada In Basin,2042,99
32,6,Nevada In Basin,2043,408
32,6,Nevada In Basin,2044,220
32,6,Nevada In Basin,2045,168
32,6,Nevada In Basin,2046,162
32,6,Nevada In Basin,2047,87
32,6,Nevada In Basin,2048,182
32,6,Nevada In Basin,2049,226
32,6,Nevada In Basin,2050,179
32,6,Nevada In Basin,2051,271
32,6,Nevada In Basin,2052,142
32,6,Nevada In Basin,2053,186
32,6,Nevada In Basin,2054,98
32,6,Nevada In Basin,2055,182
32,6,Nevada In Basin,2056,240
32,6,Nevada In Basin,2057,119
32,6,Nevada In Basin,2058,482
32,6,Nevada In Basin,2059,137
32,6,Nevada In Basin,2060,264
32,6,Nevada In Basin,2061,266
32,6,Nevada In Basin,2062,208
32,6,Nevada In Basin,2063,258
32,6,Nevada In Basin,2064,189
32,6,Nevada In Basin,2065,261
32,6,Nevada In Basin,2066,103
32,6,Nevada In Basin,2067,66
32,6,Nevada In Basin,2068,208
32,6,Nevada In Basin,2069,80
32,6,Nevada In Basin,2070,207
32,6,Nevada In Basin,2071,66
32,6,Nevada In Basin,2072,235
32,6,Nevada In Basin,2073,155
32,6,Nevada In Basin,2074,105
32,6,Nevada In Basin,2075,177
32,6,Nevada In Basin,2076,127
32,6,Nevada In Basin,2077,497
32,6,Nevada In Basin,2078,214
32,6,Nevada In Basin,2079,144
32,6,Nevada In Basin,2080,408
32,7,Nevada Not In Basin,2020,250
32,7,Nevada Not In Basin,2021,255
32,7,Nevada Not In Basin,2022,98
32,7,Nevada Not In Basin,2023,109
32,7,Nevada Not In Basin,2024,320
32,7,Nevada Not In Basin,2025,80
32,7,Nevada Not In Basin,2026,201
32,7,Nevada Not In Basin,2027,94
32,7,Nevada Not In Basin,2028,140
32,7,Nevada Not In Basin,2029,132
32,7,Nevada Not In Basin,2030,112
32,7,Nevada Not In Basin,2031,58
32,7,Nevada Not In Basin,2032,222
32,7,Nevada Not In Basin,2033,202
32,7,Nevada Not In Basin,2034,163
32,7,Nevada Not In Basin,2035,205
32,7,Nevada Not In Basin,2036,265
32,7,Nevada Not In Basin,2037,175
32,7,Nevada Not In Basin,2038,101
32,7,Nevada Not In Basin,2039,108
32,7,Nevada Not In Basin,2040,235
32,7,Nevada Not In Basin,2041,143
32,7,Nevada Not In Basin,2042,129
32,7,Nevada Not In Basin,2043,451
32,7,Nevada Not In Basin,2044,186
32,7,Nevada Not In Basin,2045,207
32,7,Nevada Not In Basin,2046,125
32,7,Nevada Not In Basin,2047,115
32,7,Nevada Not In Basin,2048,155
32,7,Nevada Not In Basin,2049,233
32,7,Nevada Not In Basin,2050,176
32,7,Nevada Not In Basin,2051,279
32,7,Nevada Not In Basin,2052,160
32,7,Nevada Not In Basin,2053,220
32,7,Nevada Not In Basin,2054,84
32,7,Nevada Not In Basin,2055,175
32,7,Nevada Not In Basin,2056,245
32,7,Nevada Not In Basin,2057,139
32,7,Nevada Not In Basin,2058,503
32,7,Nevada Not In Basin,2059,173
32,7,Nevada Not In Basin,2060,271
32,7,Nevada Not In Basin,2061,294
32,7,Nevada Not In Basin,2062,198
32,7,Nevada Not In Basin,2063,324
32,7,Nevada Not In Basin,2064,175
32,7,Nevada Not In Basin,2065,251
32,7,Nevada Not In Basin,2066,109
32,7,Nevada Not In Basin,2067,104
32,7,Nevada Not In Basin,2068,212
32,7,Nevada Not In Basin,2069,61
32,7,Nevada Not In Basin,2070,240
32,7,Nevada Not In Basin,2071,84
32,7,Nevada Not In Basin,2072,246
32,7,Nevada Not In Basin,2073,140
32,7,Nevada Not In Basin,2074,122
32,7,Nevada Not In Basin,2075,191
32,7,Nevada Not In Basin,2076,106
32,7,Nevada Not In Basin,2077,493
32,7,Nevada Not In Basin,2078,218
32,7,Nevada Not In Basin,2079,134
32,7,Nevada Not In Basin,2080,451
35,20,New Mexico Central,2020,196
35,20,New Mexico Central,2021,135
35,20,New Mexico Central,2022,75
35,20,New Mexico Central,2023,60
35,20,New Mexico Central,2024,269
35,20,New Mexico Central,2025,86
35,20,New Mexico Central,2026,154
35,20,New Mexico Central,2027,93
35,20,New Mexico Central,2028,118
35,20,New Mexico Central,2029,109
35,20,New Mexico Central,2030,60
35,20,New Mexico Central,2031,33
35,20,New Mexico Central,2032,161
35,20,New Mexico Central,2033,124
35,20,New Mexico Central,2034,111
35,20,New Mexico Central,2035,176
35,20,New Mexico Central,2036,173
35,20,New Mexico Central,2037,167
35,20,New Mexico Central,2038,72
35,20,New Mexico Central,2039,70
35,20,New Mexico Central,2040,186
35,20,New Mexico Central,2041,122
35,20,New Mexico Central,2042,88
35,20,New Mexico Central,2043,361
35,20,New Mexico Central,2044,152
35,20,New Mexico Central,2045,160
35,20,New Mexico Central,2046,133
35,20,New Mexico Central,2047,83
35,20,New Mexico Central,2048,141
35,20,New Mexico Central,2049,164
35,20,New Mexico Central,2050,148
35,20,New Mexico Central,2051,208
35,20,New Mexico Central,2052,113
35,20,New Mexico Central,2053,148
35,20,New Mexico Central,2054,71
35,20,New Mexico Central,2055,155
35,20,New Mexico Central,2056,191
35,20,New Mexico Central,2057,118
35,20,New Mexico Central,2058,390
35,20,New Mexico Central,2059,102
35,20,New Mexico Central,2060,214
35,20,New Mexico Central,2061,219
35,20,New Mexico Central,2062,156
35,20,New Mexico Central,2063,231
35,20,New Mexico Central,2064,121
35,20,New Mexico Central,2065,202
35,20,New Mexico Central,2066,84
35,20,New Mexico Central,2067,75
35,20,New Mexico Central,2068,168
35,20,New Mexico Central,2069,32
35,20,New Mexico Central,2070,182
35,20,New Mexico Central,2071,68
35,20,New Mexico Central,2072,224
35,20,New Mexico Central,2073,151
35,20,New Mexico Central,2074,94
35,20,New Mexico Central,2075,172
35,20,New Mexico Central,2076,91
35,20,New Mexico Central,2077,405
35,20,New Mexico Central,2078,158
35,20,New Mexico Central,2079,109
35,20,New Mexico Central,2080,361
35,21,New Mexico In Basin,2020,196
35,21,New Mexico In Basin,2021,135
35,21,New Mexico In Basin,2022,75
35,21,New Mexico In Basin,2023,60
35,21,New Mexico In Basin,2024,269
35,21,New Mexico In Basin,2025,86
35,21,New Mexico In Basin,2026,154
35,21,New Mexico In Basin,2027,93
35,21,New Mexico In Basin,2028,118
35,21,New Mexico In Basin,2029,109
35,21,New Mexico In Basin,2030,60
35,21,New Mexico In Basin,2031,33
35,21,New Mexico In Basin,2032,161
35,21,New Mexico In Basin,2033,124
35,21,New Mexico In Basin,2034,111
35,21,New Mexico In Basin,2035,176
35,21,New Mexico In Basin,2036,173
35,21,New Mexico In Basin,2037,167
35,21,New Mexico In Basin,2038,72
35,21,New Mexico In Basin,2039,70
35,21,New Mexico In Basin,2040,186
35,21,New Mexico In Basin,2041,122
35,21,New Mexico In Basin,2042,88
35,21,New Mexico In Basin,2043,361
35,21,New Mexico In Basin,2044,152
35,21,New Mexico In Basin,2045,160
35,21,New Mexico In Basin,2046,133
35,21,New Mexico In Basin,2047,83
35,21,New Mexico In Basin,2048,141
35,21,New Mexico In Basin,2049,164
35,21,New Mexico In Basin,2050,148
35,21,New Mexico In Basin,2051,208
35,21,New Mexico In Basin,2052,113
35,21,New Mexico In Basin,2053,148
35,21,New Mexico In Basin,2054,71
35,21,New Mexico In Basin,2055,155
35,21,New Mexico In Basin,2056,191
35,21,New Mexico In Basin,2057,118
35,21,New Mexico In Basin,2058,390
35,21,New Mexico In Basin,2059,102
35,21,New Mexico In Basin,2060,214
35,21,New Mexico In Basin,2061,219
35,21,New Mexico In Basin,2062,156
35,21,New Mexico In Basin,2063,231
35,21,New Mexico In Basin,2064,121
35,21,New Mexico In Basin,2065,202
35,21,New Mexico In Basin,2066,84
35,21,New Mexico In Basin,2067,75
35,21,New Mexico In Basin,2068,168
35,21,New Mexico In Basin,2069,32
35,21,New Mexico In Basin,2070,182
35,21,New Mexico In Basin,2071,68
35,21,New Mexico In Basin,2072,224
35,21,New Mexico In Basin,2073,151
35,21,New Mexico In Basin,2074,94
35,21,New Mexico In Basin,2075,172
35,21,New Mexico In Basin,2076,91
35,21,New Mexico In Basin,2077,405
35,21,New Mexico In Basin,2078,158
35,21,New Mexico In Basin,2079,109
35,21,New Mexico In Basin,2080,361
35,22,New Mexico Not In Basin,2020,0
35,22,New Mexico Not In Basin,2021,0
35,22,New Mexico Not In Basin,2022,0
35,22,New Mexico Not In Basin,2023,0
35,22,New Mexico Not In Basin,2024,0
35,22,New Mexico Not In Basin,2025,0
35,22,New Mexico Not In Basin,2026,0
35,22,New Mexico Not In Basin,2027,0
35,22,New Mexico Not In Basin,2028,0
35,22,New Mexico Not In Basin,2029,0
35,22,New Mexico Not In Basin,2030,0
35,22,New Mexico Not In Basin,2031,0
35,22,New Mexico Not In Basin,2032,0
35,22,New Mexico Not In Basin,2033,0
35,22,New Mexico Not In Basin,2034,0
35,22,New Mexico Not In Basin,2035,0
35,22,New Mexico Not In Basin,2036,0
35,22,New Mexico Not In Basin,2037,0
35,22,New Mexico Not In Basin,2038,0
35,22,New Mexico Not In Basin,2039,0
35,22,New Mexico Not In Basin,2040,0
35,22,New Mexico Not In Basin,2041,0
35,22,New Mexico Not In Basin,2042,0
35,22,New Mexico Not In Basin,2043,0
35,22,New Mexico Not In Basin,2044,0
35,22,New Mexico Not In Basin,2045,0
35,22,New Mexico Not In Basin,2046,0
35,22,New Mexico Not In Basin,2047,0
35,22,New Mexico Not In Basin,2048,0
35,22,New Mexico Not In Basin,2049,0
35,22,New Mexico Not In Basin,2050,0
35,22,New Mexico Not In Basin,2051,0
35,22,New Mexico Not In Basin,2052,0
35,22,New Mexico Not In Basin,2053,0
35,22,New Mexico Not In Basin,2054,0
35,22,New Mexico Not In Basin,2055,0
35,22,New Mexico Not In Basin,2056,0
35,22,New Mexico Not In Basin,2057,0
35,22,New Mexico Not In Basin,2058,0
35,22,New Mexico Not In Basin,2059,0
35,22,New Mexico Not In Basin,2060,0
35,22,New Mexico Not In Basin,2061,0
35,22,New Mexico Not In Basin,2062,0
35,22,New Mexico Not In Basin,2063,0
35,22,New Mexico Not In Basin,2064,0
35,22,New Mexico Not In Basin,2065,0
35,22,New Mexico Not In Basin,2066,0
35,22,New Mexico Not In Basin,2067,0
35,22,New Mexico Not In Basin,2068,0
35,22,New Mexico Not In Basin,2069,0
35,22,New Mexico Not In Basin,2070,0
35,22,New Mexico Not In Basin,2071,0
35,22,New Mexico Not In Basin,2072,0
35,22,New Mexico Not In Basin,2073,0
